ID,ID_old,fullid,POINT_X,POINT_Y,id,season,year,dist_final_95kernel,dist_raw,dist_final
107,105,OldGuvalala Dry 2013,488594.5228,7926198.41,OldGuvalala,Dry,2013,3058.0637,3764.861,3764.861
109,111,Raah Wet 2012,545135.6874,7889723.757,Raah,Wet,2012,1627.2076,198.7273,198.7273
111,112,Raah Wet 2013,545019.6041,7889200.238,Raah,Wet,2013,2134.1435,249.9876,249.9876
110,109,Raah Dry 2012,545135.3849,7889922.484,Raah,Dry,2012,1928.8939,731.4671,731.4671
112,110,Raah Dry 2013,544950.911,7889440.602,Raah,Dry,2013,,,
114,115,SpiceJunior Wet 2012,512781.02,7898171.241,SpiceJunior,Wet,2012,,9855.7639,
115,116,SpiceJunior Wet 2013,512860.9184,7888315.801,SpiceJunior,Wet,2013,3300.2668,8379.977,8379.977
117,117,SpiceJunior Wet 2014,508742.9594,7889564.341,SpiceJunior,Wet,2014,,9111.3716,
118,118,SpiceJunior Wet 2015,511946.4372,7898093.985,SpiceJunior,Wet,2015,,,
113,113,SpiceJunior Dry 2011,515190.4206,7895025.948,SpiceJunior,Dry,2011,5414.0676,3962.0798,3962.0798
116,114,SpiceJunior Dry 2013,512691.1039,7896694.057,SpiceJunior,Dry,2013,7441.0717,8149.8893,8149.8893
119,122,Tommy Wet 2011,509908.2782,7910571.391,Tommy,Wet,2011,12116.7031,17884.2475,17884.2475
121,123,Tommy Wet 2012,490143.8334,7926744.646,Tommy,Wet,2012,5745.9623,3560.9538,3560.9538
123,124,Tommy Wet 2013,489144.3236,7925721.111,Tommy,Wet,2013,,13109.4165,
124,125,Tommy Wet 2015,496676.493,7936450.66,Tommy,Wet,2015,4329.8137,7850.162,7850.162
126,126,Tommy Wet 2016,503100.6388,7937580.43,Tommy,Wet,2016,,,
120,119,Tommy Dry 2011,498214.1988,7924102.644,Tommy,Dry,2011,14345.5807,8491.818,8491.818
122,120,Tommy Dry 2012,488007.1281,7923895.983,Tommy,Dry,2012,2643.7312,2150.4201,2150.4201
125,121,Tommy Dry 2015,492796.0717,7929626.631,Tommy,Dry,2015,11947.3579,13017.1816,13017.1816
127,129,Vanilla Wet 2012,539726.4257,7894843.175,Vanilla,Wet,2012,8597.761,12075.0184,12075.0184
129,130,Vanilla Wet 2013,539705.2222,7877759.575,Vanilla,Wet,2013,12196.1545,12320.5607,12320.5607
131,131,Vanilla Wet 2014,544803.7993,7889152.212,Vanilla,Wet,2014,,,
128,127,Vanilla Dry 2012,530556.4903,7886987.073,Vanilla,Dry,2012,5545.8709,12994.0755,12994.0755
130,128,Vanilla Dry 2013,545337.7948,7888717.237,Vanilla,Dry,2013,1293.8245,688.7341,688.7341
133,134,Vundhla Wet 2012,436099.6995,7904749.417,Vundhla,Wet,2012,501.7233,7436.579,7436.579
135,135,Vundhla Wet 2013,428029.4883,7898910.823,Vundhla,Wet,2013,,,
132,132,Vundhla Dry 2011,442251.2056,7910021.729,Vundhla,Dry,2011,9740.0302,8101.7466,8101.7466
134,133,Vundhla Dry 2012,441200.1504,7910161.266,Vundhla,Dry,2012,23057.09,17321.628,17321.628
